,building,greenery,img
0,2.338,14.424,masks\TRAIN_0000.png
1,6.244,12.175,masks\TRAIN_0001.png
2,2.69,32.273,masks\TRAIN_0002.png
3,13.489,21.536,masks\TRAIN_0003.png
4,1.63,9.774,masks\TRAIN_0004.png
5,6.485,27.889,masks\TRAIN_0005.png
6,2.521,8.676,masks\TRAIN_0006.png
7,12.2,20.193,masks\TRAIN_0007.png
8,2.003,15.061,masks\TRAIN_0008.png
9,13.943,8.713,masks\TRAIN_0009.png
10,12.647,18.28,masks\TRAIN_0010.png
11,4.016,56.54,masks\TRAIN_0011.png
12,3.222,10.739,masks\TRAIN_0012.png
13,8.113,39.446,masks\TRAIN_0013.png
14,6.703,57.836,masks\TRAIN_0014.png
15,4.929,39.289,masks\TRAIN_0015.png
16,8.894,7.85,masks\TRAIN_0016.png
17,1.073,56.418,masks\TRAIN_0017.png
18,4.025,32.54,masks\TRAIN_0018.png
19,1.05,27.069,masks\TRAIN_0019.png
20,12.347,14.876,masks\TRAIN_0020.png
21,1.85,52.513,masks\TRAIN_0021.png
22,3.206,75.626,masks\TRAIN_0022.png
23,9.811,37.813,masks\TRAIN_0023.png
24,4.637,8.161,masks\TRAIN_0024.png
25,9.39,29.338,masks\TRAIN_0025.png
26,10.494,7.603,masks\TRAIN_0026.png
27,24.174,11.114,masks\TRAIN_0027.png
28,1.041,57.91,masks\TRAIN_0028.png
29,12.537,39.544,masks\TRAIN_0029.png
30,21.332,30.108,masks\TRAIN_0030.png
31,2.34,83.063,masks\TRAIN_0031.png
32,1.366,88.247,masks\TRAIN_0032.png
33,2.927,42.227,masks\TRAIN_0033.png
34,4.808,11.085,masks\TRAIN_0034.png
35,2.22,58.588,masks\TRAIN_0035.png
36,1.412,11.52,masks\TRAIN_0036.png
37,2.162,36.38,masks\TRAIN_0037.png
38,13.178,20.216,masks\TRAIN_0038.png
39,8.531,31.264,masks\TRAIN_0039.png
40,7.967,42.716,masks\TRAIN_0040.png
41,2.828,27.823,masks\TRAIN_0041.png
42,9.375,18.995,masks\TRAIN_0042.png
43,1.976,79.149,masks\TRAIN_0043.png
44,6.931,35.037,masks\TRAIN_0044.png
45,1.532,57.973,masks\TRAIN_0045.png
46,1.76,34.75,masks\TRAIN_0046.png
47,1.203,38.123,masks\TRAIN_0047.png
48,7.451,32.654,masks\TRAIN_0048.png
49,10.645,16.929,masks\TRAIN_0049.png
50,2.884,76.734,masks\TRAIN_0050.png
51,13.51,20.615,masks\TRAIN_0051.png
52,12.388,4.984,masks\TRAIN_0052.png
53,3.286,27.466,masks\TRAIN_0053.png
54,3.955,25.176,masks\TRAIN_0054.png
55,1.987,76.244,masks\TRAIN_0055.png
56,3.855,30.112,masks\TRAIN_0056.png
57,2.86,22.117,masks\TRAIN_0057.png
58,10.759,29.996,masks\TRAIN_0058.png
59,3.008,20.702,masks\TRAIN_0059.png
60,3.195,35.828,masks\TRAIN_0060.png
61,6.276,53.042,masks\TRAIN_0061.png
62,7.695,22.545,masks\TRAIN_0062.png
63,4.837,31.215,masks\TRAIN_0063.png
64,4.412,17.281,masks\TRAIN_0064.png
65,11.358,27.049,masks\TRAIN_0065.png
66,9.368,41.498,masks\TRAIN_0066.png
67,12.752,5.81,masks\TRAIN_0067.png
68,24.603,7.996,masks\TRAIN_0068.png
69,17.348,11.211,masks\TRAIN_0069.png
70,6.009,21.761,masks\TRAIN_0070.png
71,1.362,63.005,masks\TRAIN_0071.png
72,8.615,40.618,masks\TRAIN_0072.png
73,4.4,70.412,masks\TRAIN_0073.png
74,5.504,31.679,masks\TRAIN_0074.png
75,3.288,24.517,masks\TRAIN_0075.png
76,5.456,47.085,masks\TRAIN_0076.png
77,7.685,24.534,masks\TRAIN_0077.png
78,4.591,52.291,masks\TRAIN_0078.png
79,9.515,33.546,masks\TRAIN_0079.png
80,1.779,27.171,masks\TRAIN_0080.png
81,3.051,26.58,masks\TRAIN_0081.png
82,11.888,55.065,masks\TRAIN_0082.png
83,4.897,77.112,masks\TRAIN_0083.png
84,11.283,7.301,masks\TRAIN_0084.png
85,2.449,23.604,masks\TRAIN_0085.png
86,3.287,20.664,masks\TRAIN_0086.png
87,17.452,14.859,masks\TRAIN_0087.png
88,1.518,38.437,masks\TRAIN_0088.png
89,6.575,6.075,masks\TRAIN_0089.png
90,9.196,62.507,masks\TRAIN_0090.png
91,5.888,40.727,masks\TRAIN_0091.png
92,11.615,17.349,masks\TRAIN_0092.png
93,5.651,11.365,masks\TRAIN_0093.png
94,1.448,53.208,masks\TRAIN_0094.png
95,1.129,90.434,masks\TRAIN_0095.png
96,4.375,19.257,masks\TRAIN_0096.png
97,2.257,32.832,masks\TRAIN_0097.png
98,2.404,73.824,masks\TRAIN_0098.png
99,13.355,22.362,masks\TRAIN_0099.png
100,10.708,35.307,masks\TRAIN_0100.png
101,11.15,13.963,masks\TRAIN_0101.png
102,10.438,69.962,masks\TRAIN_0102.png
103,9.953,15.331,masks\TRAIN_0103.png
104,8.666,24.775,masks\TRAIN_0104.png
105,7.249,57.827,masks\TRAIN_0105.png
106,4.404,71.518,masks\TRAIN_0106.png
107,10.132,24.786,masks\TRAIN_0107.png
108,13.086,56.373,masks\TRAIN_0108.png
109,3.25,49.248,masks\TRAIN_0109.png
110,3.119,55.907,masks\TRAIN_0110.png
111,2.517,74.608,masks\TRAIN_0111.png
112,9.85,14.548,masks\TRAIN_0112.png
113,1.608,32.617,masks\TRAIN_0113.png
114,2.059,66.98,masks\TRAIN_0114.png
115,13.729,2.573,masks\TRAIN_0115.png
116,8.685,73.04,masks\TRAIN_0116.png
117,13.77,32.2,masks\TRAIN_0117.png
118,1.692,39.209,masks\TRAIN_0118.png
119,4.809,30.753,masks\TRAIN_0119.png
120,3.383,74.197,masks\TRAIN_0120.png
121,12.605,10.255,masks\TRAIN_0121.png
122,10.074,42.15,masks\TRAIN_0122.png
123,12.888,27.14,masks\TRAIN_0123.png
124,5.512,3.366,masks\TRAIN_0124.png
125,2.281,73.585,masks\TRAIN_0125.png
126,8.706,6.042,masks\TRAIN_0126.png
127,12.717,30.546,masks\TRAIN_0127.png
128,3.414,87.362,masks\TRAIN_0128.png
129,4.846,5.313,masks\TRAIN_0129.png
130,5.39,10.82,masks\TRAIN_0130.png
131,1.13,33.273,masks\TRAIN_0131.png
132,4.171,8.106,masks\TRAIN_0132.png
133,2.274,78.382,masks\TRAIN_0133.png
134,9.017,10.095,masks\TRAIN_0134.png
135,7.149,9.921,masks\TRAIN_0135.png
136,14.218,22.713,masks\TRAIN_0136.png
137,4.262,3.863,masks\TRAIN_0137.png
138,2.783,84.278,masks\TRAIN_0138.png
139,1.226,43.518,masks\TRAIN_0139.png
140,14.759,25.617,masks\TRAIN_0140.png
141,6.538,8.762,masks\TRAIN_0141.png
142,10.491,11.583,masks\TRAIN_0142.png
143,9.724,40.455,masks\TRAIN_0143.png
144,2.301,68.292,masks\TRAIN_0144.png
145,5.371,19.355,masks\TRAIN_0145.png
146,1.151,9.178,masks\TRAIN_0146.png
147,12.753,38.061,masks\TRAIN_0147.png
148,9.827,9.128,masks\TRAIN_0148.png
149,10.267,13.978,masks\TRAIN_0149.png
150,1.139,89.346,masks\TRAIN_0150.png
151,8.042,37.777,masks\TRAIN_0151.png
152,11.088,15.736,masks\TRAIN_0152.png
153,6.225,38.553,masks\TRAIN_0153.png
154,1.388,66.847,masks\TRAIN_0154.png
155,6.469,62.292,masks\TRAIN_0155.png
156,10.893,14.194,masks\TRAIN_0156.png
157,1.003,43.388,masks\TRAIN_0157.png
158,22.845,21.017,masks\TRAIN_0158.png
159,6.425,44.297,masks\TRAIN_0159.png
160,33.882,8.387,masks\TRAIN_0160.png
161,4.518,30.439,masks\TRAIN_0161.png
162,6.322,11.784,masks\TRAIN_0162.png
163,8.953,55.357,masks\TRAIN_0163.png
164,1.085,73.839,masks\TRAIN_0164.png
