,building,greenery,img
0,8.553,18.473,masks\oba_0.png
1,8.686,43.042,masks\oba_1.png
2,7.063,51.818,masks\oba_10.png
3,12.101,62.483,masks\oba_100.png
4,27.73,5.814,masks\oba_1000.png
5,19.547,12.035,masks\oba_10000.png
6,12.129,6.311,masks\oba_10001.png
7,9.132,55.481,masks\oba_10002.png
8,6.727,5.232,masks\oba_10003.png
9,7.603,40.834,masks\oba_10004.png
10,9.765,56.887,masks\oba_10005.png
11,10.24,6.346,masks\oba_10006.png
12,11.625,43.904,masks\oba_10007.png
13,17.181,76.433,masks\oba_10008.png
14,10.823,84.184,masks\oba_10009.png
15,8.943,65.368,masks\oba_1001.png
16,8.789,4.611,masks\oba_10010.png
17,14.062,4.417,masks\oba_10011.png
18,8.582,4.83,masks\oba_10012.png
19,15.781,39.534,masks\oba_10013.png
20,6.783,38.128,masks\oba_10014.png
21,14.132,4.132,masks\oba_10015.png
22,10.34,78.259,masks\oba_10016.png
23,26.486,59.402,masks\oba_10017.png
24,15.368,4.836,masks\oba_10018.png
25,12.746,14.697,masks\oba_10019.png
26,8.392,26.12,masks\oba_1002.png
27,14.512,64.27,masks\oba_10020.png
28,10.362,84.307,masks\oba_10021.png
29,9.1,76.057,masks\oba_10022.png
30,9.642,49.635,masks\oba_10023.png
31,24.5,65.482,masks\oba_10024.png
32,10.891,11.518,masks\oba_10025.png
33,18.545,18.299,masks\oba_10026.png
34,10.743,55.058,masks\oba_10027.png
35,6.993,85.608,masks\oba_10028.png
36,11.304,72.696,masks\oba_10029.png
37,13.617,6.063,masks\oba_1003.png
38,14.302,13.78,masks\oba_10030.png
39,23.373,14.174,masks\oba_10031.png
40,8.965,19.099,masks\oba_10032.png
41,14.965,60.347,masks\oba_10033.png
42,9.447,5.212,masks\oba_10034.png
43,16.246,29.081,masks\oba_10035.png
44,17.308,41.64,masks\oba_10036.png
45,12.865,1.935,masks\oba_10037.png
46,13.286,58.658,masks\oba_10038.png
47,17.245,34.957,masks\oba_10039.png
48,7.791,74.265,masks\oba_1004.png
49,27.211,5.705,masks\oba_10040.png
50,10.922,3.856,masks\oba_10041.png
51,12.824,12.527,masks\oba_10042.png
52,13.681,35.558,masks\oba_10043.png
53,18.097,47.297,masks\oba_10044.png
54,12.994,31.81,masks\oba_10045.png
55,10.66,29.264,masks\oba_10046.png
56,11.981,72.553,masks\oba_10047.png
57,11.369,40.374,masks\oba_10048.png
58,11.949,15.806,masks\oba_10049.png
59,7.159,2.108,masks\oba_1005.png
60,18.955,8.84,masks\oba_10050.png
61,8.641,67.509,masks\oba_10051.png
62,17.981,14.029,masks\oba_10052.png
63,15.035,5.849,masks\oba_10053.png
64,10.3,79.538,masks\oba_10054.png
65,9.49,77.623,masks\oba_10055.png
66,10.749,17.286,masks\oba_10056.png
67,10.757,81.551,masks\oba_10057.png
68,7.512,20.662,masks\oba_10058.png
69,19.361,27.168,masks\oba_10059.png
70,9.36,13.506,masks\oba_1006.png
71,7.02,69.814,masks\oba_10060.png
72,14.772,37.434,masks\oba_10061.png
73,13.266,44.967,masks\oba_10062.png
74,13.311,14.916,masks\oba_10063.png
75,11.362,75.566,masks\oba_10064.png
76,11.623,27.956,masks\oba_10065.png
77,15.26,32.218,masks\oba_10066.png
78,6.633,69.215,masks\oba_10067.png
79,12.14,58.694,masks\oba_10068.png
80,10.301,7.758,masks\oba_10069.png
81,10.759,49.206,masks\oba_1007.png
82,11.757,65.988,masks\oba_10070.png
83,12.105,11.447,masks\oba_10071.png
84,9.623,43.505,masks\oba_10072.png
85,8.788,3.19,masks\oba_10073.png
86,9.165,60.133,masks\oba_10074.png
87,8.767,0.998,masks\oba_10075.png
88,19.926,4.097,masks\oba_10076.png
89,7.486,77.437,masks\oba_10077.png
90,10.779,19.109,masks\oba_10078.png
91,15.4,17.011,masks\oba_10079.png
92,11.122,13.84,masks\oba_1008.png
93,18.449,32.223,masks\oba_10080.png
94,6.3,69.257,masks\oba_10081.png
95,13.339,54.354,masks\oba_10082.png
96,8.819,89.625,masks\oba_10083.png
97,13.055,4.754,masks\oba_10084.png
98,13.239,53.559,masks\oba_10085.png
99,11.187,44.823,masks\oba_10086.png
100,9.692,4.35,masks\oba_10087.png
101,11.169,84.548,masks\oba_10088.png
102,15.311,22.222,masks\oba_10089.png
103,25.336,73.292,masks\oba_1009.png
104,12.372,77.76,masks\oba_10090.png
105,41.87,11.957,masks\oba_10091.png
106,8.612,76.718,masks\oba_10092.png
107,10.853,29.299,masks\oba_10093.png
108,7.474,83.861,masks\oba_10094.png
109,13.143,24.893,masks\oba_10095.png
110,35.395,25.539,masks\oba_10096.png
111,11.538,80.161,masks\oba_10097.png
112,14.186,74.37,masks\oba_10098.png
113,25.635,49.49,masks\oba_10099.png
114,39.047,42.591,masks\oba_101.png
115,12.518,79.567,masks\oba_1010.png
116,5.997,64.942,masks\oba_10100.png
117,13.875,16.194,masks\oba_10101.png
118,9.27,1.951,masks\oba_10102.png
119,9.499,43.581,masks\oba_10103.png
120,7.333,71.954,masks\oba_10104.png
121,9.008,36.398,masks\oba_10105.png
122,7.293,13.53,masks\oba_10106.png
123,6.275,35.399,masks\oba_10107.png
124,11.874,78.941,masks\oba_10108.png
125,27.322,51.44,masks\oba_10109.png
126,7.631,36.201,masks\oba_1011.png
127,6.812,52.53,masks\oba_10110.png
128,12.069,77.366,masks\oba_10111.png
129,10.982,11.2,masks\oba_10112.png
130,8.002,1.568,masks\oba_10113.png
131,6.096,63.862,masks\oba_10114.png
132,8.853,55.167,masks\oba_10115.png
133,12.301,39.583,masks\oba_10116.png
134,7.523,41.448,masks\oba_10117.png
135,8.553,21.299,masks\oba_10118.png
136,9.792,4.428,masks\oba_10119.png
137,11.88,49.26,masks\oba_1012.png
138,17.532,4.448,masks\oba_10120.png
139,6.82,91.435,masks\oba_10121.png
140,9.924,65.829,masks\oba_10122.png
141,29.312,4.314,masks\oba_10123.png
142,8.474,51.861,masks\oba_10124.png
143,9.491,72.621,masks\oba_10125.png
144,16.736,3.474,masks\oba_10126.png
145,9.835,67.123,masks\oba_10127.png
146,8.973,69.488,masks\oba_10128.png
147,4.768,13.945,masks\oba_10129.png
148,20.145,10.514,masks\oba_1013.png
149,8.68,69.732,masks\oba_10130.png
150,9.587,0.26,masks\oba_10131.png
151,10.626,62.559,masks\oba_10132.png
152,15.295,24.559,masks\oba_10133.png
153,13.715,4.153,masks\oba_10134.png
154,10.061,27.705,masks\oba_10135.png
155,13.034,32.89,masks\oba_10136.png
156,13.443,23.951,masks\oba_10137.png
157,16.863,19.576,masks\oba_10138.png
158,5.632,1.868,masks\oba_10139.png
159,18.063,61.483,masks\oba_1014.png
160,11.475,46.849,masks\oba_10140.png
161,7.964,58.338,masks\oba_10141.png
162,8.168,81.922,masks\oba_10142.png
163,9.039,13.192,masks\oba_10143.png
164,19.65,58.174,masks\oba_10144.png
165,5.268,60.08,masks\oba_10145.png
166,21.109,18.95,masks\oba_10146.png
167,7.374,31.186,masks\oba_10147.png
168,20.331,16.847,masks\oba_10148.png
169,7.644,6.115,masks\oba_10149.png
170,10.807,55.169,masks\oba_1015.png
171,18.926,41.462,masks\oba_10150.png
172,9.712,3.181,masks\oba_10151.png
173,15.385,61.378,masks\oba_10152.png
174,16.906,72.128,masks\oba_10153.png
175,6.828,38.577,masks\oba_10154.png
176,13.666,2.935,masks\oba_10155.png
177,11.292,26.219,masks\oba_10156.png
178,11.63,80.87,masks\oba_10157.png
179,7.685,0.83,masks\oba_10158.png
180,6.772,37.362,masks\oba_10159.png
181,13.577,45.96,masks\oba_1016.png
182,8.961,75.286,masks\oba_10160.png
183,9.224,5.613,masks\oba_10161.png
184,5.059,84.591,masks\oba_10162.png
185,6.879,12.872,masks\oba_10163.png
186,14.85,36.714,masks\oba_10164.png
187,9.55,7.306,masks\oba_10165.png
188,5.339,83.438,masks\oba_10166.png
189,8.076,18.592,masks\oba_10167.png
190,13.575,29.041,masks\oba_10168.png
191,14.157,1.662,masks\oba_10169.png
192,6.877,4.946,masks\oba_1017.png
193,4.948,17.266,masks\oba_10170.png
194,10.114,43.709,masks\oba_10171.png
195,18.689,18.967,masks\oba_10172.png
196,11.976,0.918,masks\oba_10173.png
197,8.068,4.263,masks\oba_10174.png
198,11.261,20.014,masks\oba_10175.png
199,8.538,59.965,masks\oba_10176.png
200,4.784,55.963,masks\oba_10177.png
201,12.098,69.62,masks\oba_10178.png
202,11.499,76.07,masks\oba_10179.png
203,8.043,13.176,masks\oba_1018.png
204,16.819,8.67,masks\oba_10180.png
205,6.547,8.694,masks\oba_10181.png
206,11.153,26.353,masks\oba_10182.png
207,11.438,66.402,masks\oba_10183.png
208,16.669,10.967,masks\oba_10184.png
209,8.388,84.04,masks\oba_10185.png
210,17.018,77.893,masks\oba_10186.png
211,29.084,42.522,masks\oba_10187.png
212,5.842,6.318,masks\oba_10188.png
213,7.695,65.479,masks\oba_10189.png
214,10.03,28.632,masks\oba_1019.png
215,9.274,39.174,masks\oba_10190.png
216,32.677,21.312,masks\oba_10191.png
217,9.396,67.262,masks\oba_10192.png
218,14.122,49.126,masks\oba_10193.png
219,6.617,74.778,masks\oba_10194.png
220,16.175,27.738,masks\oba_10195.png
221,11.053,5.494,masks\oba_10196.png
222,8.174,79.726,masks\oba_10197.png
223,9.354,36.967,masks\oba_10198.png
224,7.557,76.453,masks\oba_10199.png
225,19.622,40.356,masks\oba_102.png
226,8.075,78.984,masks\oba_1020.png
227,8.229,59.379,masks\oba_10200.png
228,5.726,3.761,masks\oba_10201.png
229,10.612,36.335,masks\oba_10202.png
230,7.717,4.172,masks\oba_10203.png
231,12.361,61.964,masks\oba_10204.png
232,7.835,46.047,masks\oba_10205.png
233,15.432,63.494,masks\oba_10206.png
234,8.611,50.753,masks\oba_10207.png
235,14.172,6.507,masks\oba_10208.png
236,5.384,68.358,masks\oba_10209.png
237,8.392,79.041,masks\oba_1021.png
238,8.696,31.853,masks\oba_10210.png
239,14.544,47.861,masks\oba_10211.png
240,8.038,86.977,masks\oba_10212.png
241,6.053,22.429,masks\oba_10213.png
242,13.891,66.519,masks\oba_10214.png
243,7.823,73.827,masks\oba_10215.png
244,5.667,87.543,masks\oba_10216.png
245,13.43,80.258,masks\oba_10217.png
246,10.515,2.081,masks\oba_10218.png
247,9.19,61.944,masks\oba_10219.png
248,22.248,41.9,masks\oba_1022.png
249,9.015,39.273,masks\oba_10220.png
250,10.184,13.518,masks\oba_10221.png
251,9.629,17.973,masks\oba_10222.png
252,6.648,26.896,masks\oba_10223.png
253,12.25,42.515,masks\oba_10224.png
254,15.137,48.859,masks\oba_10225.png
255,12.879,74.677,masks\oba_10226.png
256,10.02,42.228,masks\oba_10227.png
257,15.418,5.881,masks\oba_10228.png
258,11.202,30.667,masks\oba_10229.png
259,10.412,46.572,masks\oba_1023.png
260,17.203,12.531,masks\oba_10230.png
261,16.727,11.163,masks\oba_10231.png
262,12.984,4.947,masks\oba_10232.png
263,5.342,43.972,masks\oba_10233.png
264,6.473,34.493,masks\oba_10234.png
265,11.829,8.476,masks\oba_10235.png
266,8.596,2.127,masks\oba_10236.png
267,7.528,80.627,masks\oba_10237.png
268,9.928,18.724,masks\oba_10238.png
269,11.705,76.607,masks\oba_10239.png
270,18.516,72.506,masks\oba_1024.png
271,6.258,76.46,masks\oba_10240.png
272,13.632,44.681,masks\oba_10241.png
273,11.448,66.0,masks\oba_10242.png
274,8.756,13.161,masks\oba_10243.png
275,10.15,84.003,masks\oba_10244.png
276,22.922,27.718,masks\oba_10245.png
277,15.921,17.038,masks\oba_10246.png
278,12.91,68.682,masks\oba_10247.png
279,9.335,31.001,masks\oba_10248.png
280,10.125,69.043,masks\oba_10249.png
281,6.689,25.317,masks\oba_1025.png
282,6.755,56.257,masks\oba_10250.png
283,17.272,64.214,masks\oba_10251.png
284,7.934,10.542,masks\oba_10252.png
285,7.389,70.684,masks\oba_10253.png
286,15.823,16.694,masks\oba_10254.png
287,8.772,11.604,masks\oba_10255.png
288,17.249,51.518,masks\oba_10256.png
289,9.692,52.619,masks\oba_10257.png
290,13.513,30.111,masks\oba_10258.png
291,8.739,86.393,masks\oba_10259.png
292,7.664,8.044,masks\oba_1026.png
293,24.171,32.207,masks\oba_10260.png
294,6.747,30.873,masks\oba_10261.png
295,5.361,59.974,masks\oba_10262.png
296,18.709,0.787,masks\oba_10263.png
297,17.266,47.777,masks\oba_10264.png
298,11.524,56.256,masks\oba_10265.png
299,14.286,12.644,masks\oba_10266.png
300,11.407,51.319,masks\oba_10267.png
301,5.492,54.321,masks\oba_10268.png
302,6.599,81.263,masks\oba_10269.png
303,13.573,7.278,masks\oba_1027.png
304,5.773,9.655,masks\oba_10270.png
305,11.017,60.799,masks\oba_10271.png
306,11.591,12.199,masks\oba_10272.png
307,12.688,27.649,masks\oba_10273.png
308,6.098,69.388,masks\oba_10274.png
309,12.933,36.116,masks\oba_10275.png
310,6.592,17.931,masks\oba_10276.png
311,7.326,75.231,masks\oba_10277.png
312,13.473,32.076,masks\oba_10278.png
313,6.009,34.243,masks\oba_10279.png
314,12.589,22.192,masks\oba_1028.png
315,14.499,3.24,masks\oba_10280.png
316,6.337,5.022,masks\oba_10281.png
317,11.822,30.015,masks\oba_10282.png
318,8.0,0.781,masks\oba_10283.png
319,8.797,32.979,masks\oba_10284.png
320,6.896,72.681,masks\oba_10285.png
321,11.963,4.372,masks\oba_10286.png
322,12.128,42.952,masks\oba_10287.png
323,6.599,57.549,masks\oba_10288.png
324,22.372,16.923,masks\oba_10289.png
325,13.458,41.986,masks\oba_1029.png
326,27.462,51.632,masks\oba_10290.png
327,7.781,3.215,masks\oba_10291.png
328,19.281,10.88,masks\oba_10292.png
329,9.867,7.394,masks\oba_10293.png
330,9.712,80.518,masks\oba_10294.png
331,17.075,65.472,masks\oba_10295.png
332,5.043,9.653,masks\oba_10296.png
333,7.116,0.75,masks\oba_10297.png
334,13.447,57.214,masks\oba_10298.png
335,6.159,5.007,masks\oba_10299.png
336,11.317,40.171,masks\oba_103.png
337,14.713,37.902,masks\oba_1030.png
338,10.795,41.849,masks\oba_10300.png
339,9.531,8.417,masks\oba_10301.png
340,12.169,28.821,masks\oba_10302.png
341,5.152,9.027,masks\oba_10303.png
342,10.637,50.146,masks\oba_10304.png
343,17.329,13.398,masks\oba_10305.png
344,13.694,20.9,masks\oba_10306.png
345,9.545,43.799,masks\oba_10307.png
346,11.119,68.198,masks\oba_10308.png
347,8.07,29.097,masks\oba_10309.png
